PRJ. ID,PRJ.,COVER MAT,HOUSING MAT,TEARLINE,CUSHION TETHER,CUSHION RADIUS,INTERFACE,FLAPPY MASS,HINGE WIDTH,PLANE,NECK,INFLATOR,WRAPPER,CUSHION FOLDTYPE,FAILURE,CAE RESULT
2,NIO FORCE V1,TA4003,STEEL,I,2,710,ASW8,1.88E-02,57.8,FALSE,TRUE,ADP 1.3B 210kPa,FALSE,DRR,0,Y:\comp\02_DAB\488_201009_ESR-084125_NIO_Force_DAB_Deployment_dual_stage_inflato_AFIS86564_YiNi_Yujin\02_Run\V1_Cover_emblem
3,NIO FORCE V2,TA4003,STEEL,P,2,710,ASW8,1.63E-02,46,FALSE,TRUE,ADP 1.3B 210kPa,FALSE,DRR,0,Y:\comp\02_DAB\488_201009_ESR-084125_NIO_Force_DAB_Deployment_dual_stage_inflato_AFIS86564_YiNi_Yujin\02_Run\V2_steel
5,GLY EX11 V4,TT1081,STEEL,H,2,700,ASW3,2.33E-02,60,FALSE,TRUE,ADP 1.3B 210kPa,FALSE,LC3,1,Y:\comp\02_DAB\482_200731_ESR-079573_GLY_EX11_DAB_Deployment_AFIS86455_NancyXu_Yujin\02_Run\V4
7,P3011 V1,TT1081,STEEL,H,3,700,ASW8,2.91E-02,79.3,FALSE,TRUE,ADP 1.3B 200kPa,FALSE,LC3,1,Y:\comp\02_DAB\482_200731_ESR-079573_GLY_EX11_DAB_Deployment_AFIS86455_NancyXu_Yujin\02_Run\V4
8,P3011 K7CUSHION,TT1081,STEEL,H,2,680,ASW8,2.91E-02,79.3,FALSE,TRUE,ADP 1.3B 200kPa,FALSE,RC1,1,Y:\comp\02_DAB\491_201113_ESR-086234_GMW_K7_DAB_Deployment_changeCushion_AFIS86539_HaimingChen_Yujin\02_Run
9,PSA E43C SINGLE,TT990,PG8,H,2,680,ASW5,2.38E-02,72,TRUE,FALSE,ADP 1.3B 210kPa,TRUE,DRR,0,Y:\comp\02_DAB\438_190516_ESR-053575_E43C_DAB_Deployment_Yujin\02_Run
11,GLY EX11 V1 TRIAL,TT1081,STEEL,H,2,680,ASW3,2.41E-02,63.9,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,LC3,0,Y:\comp\02_DAB\448_190815_ESR-058456_EX11_DAB_Deployment_HYQ\02_Run
12,Lotus Gamma2 V2,TT1081,STEEL,P,2,680,ASW3,1.99E-02,50.291,FALSE,TRUE,ADP 1.3B 210kPa,FALSE,LC3,1,Y:\comp\02_DAB\478_200619_ESR-076269_Lotus_Gamma2_DAB_deployment_2nd_AFIS86523_HaojieGao_Yujin\02_Run\V2
13,Lotus Gamma2 ,TT1081,STEEL,P,2,680,ASW3,1.77E-02,44.372,FALSE,TRUE,ADP 1.3B 210kPa,FALSE,LC3,1,Y:\comp\02_DAB\476_200519_ESR-075109_Lotus_Gamma2_DAB_deployment_AFIS86523_HaojieGao_Yujin\02_Run\V1
14,AERO B,TT1081,STEEL,P,3,700,ASW3,2.06E-02,52.247,TRUE,FALSE,ADP 1.3B 210kPa,FALSE,LC3,0,Y:\comp\02_DAB\475_200507_ESR-074795_Aero_B_DAB_deployment_AFIS26559_ZhengkunZhang_Yujin\02_Run\V1_350_DT2MS06
15,AUDI A3,TT1081,STEEL,H,3,700,ASW3,2.24E-02,49.11,TRUE,TRUE,ADP 1.3B 210kPa,FALSE,LC3,0,Y:\comp\02_DAB\474_200428_ESR-074366_VW_A3_DAB_Deployment_HYQ\02_Run
17,Ford CD542 V42,TT990,PG8,H,2,660,ASW5,2.61E-02,59.963,TRUE,TRUE,ADP 1.3B 210kPa,TRUE,DRR,0,Y:\comp\02_DAB\469_200319_ESR-061831_Ford_CD542_DAB_deployment_V2_AFIS16C07_WenxueXie_Yujin\02_Run\04_V42_Wrapper
