,Unnamed: 0,PRJ. ID,PRJ.,COVER MAT,HOUSING MAT,TEARLINE,CUSHION TETHER,CUSHION RADIUS,INTERFACE,FLAPPY MASS,HINGE WIDTH,PLANE,NECK,INFLATOR,WRAPPER,CUSHION FOLDTYPE,daokou,CAE RESULT,FAILURE
0,2,5,GLY EX11 V4,TT1081,STEEL,H,2,700,ASW3,0.0233,60.0,0,1,ADP 1.3B 210kPa,0,LC3,0,Y:\comp\02_DAB\482_200731_ESR-079573_GLY_EX11_DAB_Deployment_AFIS86455_NancyXu_Yujin\02_Run\V4,1
1,3,7,P3011 V1,TT1081,STEEL,H,3,700,ASW8,0.0291,79.3,0,1,ADP 1.3B 200kPa,0,LC3,0,Y:\comp\02_DAB\482_200731_ESR-079573_GLY_EX11_DAB_Deployment_AFIS86455_NancyXu_Yujin\02_Run\V4,1
2,4,8,P3011 K7CUSHION,TT1081,STEEL,H,2,680,ASW8,0.0291,79.3,0,1,ADP 1.3B 200kPa,0,RC1,0,Y:\comp\02_DAB\491_201113_ESR-086234_GMW_K7_DAB_Deployment_changeCushion_AFIS86539_HaimingChen_Yujin\02_Run,1
3,6,11,GLY EX11 V1 TRIAL,TT1081,STEEL,H,2,680,ASW3,0.0241,63.9,1,1,ADP 1.3B 210kPa,1,LC3,1,Y:\comp\02_DAB\448_190815_ESR-058456_EX11_DAB_Deployment_HYQ\02_Run,0
4,7,12,Lotus Gamma2 V2,TT1081,STEEL,P,2,680,ASW3,0.0199,50.291,0,1,ADP 1.3B 210kPa,0,LC3,1,Y:\comp\02_DAB\478_200619_ESR-076269_Lotus_Gamma2_DAB_deployment_2nd_AFIS86523_HaojieGao_Yujin\02_Run\V2,1
5,8,13,Lotus Gamma2 ,TT1081,STEEL,P,2,680,ASW3,0.0177,44.372,0,1,ADP 1.3B 210kPa,0,LC3,0,Y:\comp\02_DAB\476_200519_ESR-075109_Lotus_Gamma2_DAB_deployment_AFIS86523_HaojieGao_Yujin\02_Run\V1,1
6,9,14,AERO B,TT1081,STEEL,P,3,700,ASW3,0.0206,52.247,1,0,ADP 1.3B 210kPa,0,LC3,1,Y:\comp\02_DAB\475_200507_ESR-074795_Aero_B_DAB_deployment_AFIS26559_ZhengkunZhang_Yujin\02_Run\V1_350_DT2MS06,0
7,10,15,AUDI A3,TT1081,STEEL,H,3,700,ASW3,0.0224,49.11,1,1,ADP 1.3B 210kPa,0,LC3,1,Y:\comp\02_DAB\474_200428_ESR-074366_VW_A3_DAB_Deployment_HYQ\02_Run,0
8,13,19,GWM V61,TT1081,STEEL,P,3,690,ASW8,0.0185,63.169,1,0,ADP 1.3B 210kPa,0,LC3,0,Y:\comp\02_DAB\468_200228_ESR-071039_V61_DAB_COVER_OPENING_Simulation_AFIS86488_KaixuanZeng_Yujin\02_Run\V1,0
9,14,20,CHB071 ILLUMINATED EMBLEM,TT1081,STEEL,I,3,690,ASW3,0.029,65.233,0,1,ADP 1.3B 210kPa,0,LC3,0,Y:\comp\02_DAB\466_191226_ESR-066013_GWM_CHB071_Illuminated_Emblem_DAB_Deployment_AFIS66242_MingfeiLiang_Yujin\02_Run\material_test,1
